id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1386163420517519360,1386163420517519360,2021-04-24 23:41:27 Hora Padrão de Caracas,2021-04-24,23:41:27,-0400,191232208,pitadapsi,Tiago Lupoli (PitadaPSI),,"Um dia desses, li em um perfil de frases motivacionais: ""Com o tempo você percebe que deve se libertar de algumas pessoas, pois elas não servem pra nada."" Percebi que algumas pessoas entendem outras como utilidade. Perverso.  #pitadapsi #doençamental #autopercepção #terapia",pt,[],[],[],0,0,0,"['pitadapsi', 'doençamental', 'autopercepção', 'terapia']",[],https://twitter.com/pitadapsi/status/1386163420517519360,False,,0,,,,,,,,[],,,,
1380347392688586752,1380347392688586752,2021-04-08 22:30:38 Hora Padrão de Caracas,2021-04-08,22:30:38,-0400,76981087,leandro_psolsp,Leandro Mostarda 🌵🌞📚🖊,,Problemas psicológicos são questões sérias e não mi-mi-mi. Respeite! #Psicologia #Terapia #terapiadegrupo #suicidio #quarentena #DistanciamientoSocial #tratamento #psiquiatria #medico #saude #sus #doencamental,pt,[],[],[],0,0,1,"['psicologia', 'terapia', 'terapiadegrupo', 'suicidio', 'quarentena', 'distanciamientosocial', 'tratamento', 'psiquiatria', 'medico', 'saude', 'sus', 'doencamental']",[],https://twitter.com/leandro_psolSP/status/1380347392688586752,False,,0,,,,,,,,[],,,,
1379908539548893191,1379898430059855880,2021-04-07 17:26:47 Hora Padrão de Caracas,2021-04-07,17:26:47,-0400,755779033565106176,raileaolima,Rai Leão vocalista,,#saúdemental #precisodeajuda #doençamental #doençadegenerativa #benefícionegado,und,[],[],[],0,0,1,"['saúdemental', 'precisodeajuda', 'doençamental', 'doençadegenerativa', 'benefícionegado']",[],https://twitter.com/raileaolima/status/1379908539548893191,False,,0,,,,,,,,[],,,,
1379829945908744195,1379829945908744195,2021-04-07 12:14:29 Hora Padrão de Caracas,2021-04-07,12:14:29,-0400,1865240671,tanesuff,ma,,amanha tem masters #doençamental #vejoqualquercoisa,pt,[],[],[],0,0,0,"['doençamental', 'vejoqualquercoisa']",[],https://twitter.com/tanesuff/status/1379829945908744195,False,,0,,,,,,,,[],,,,
1377077357694087171,1377077357694087171,2021-03-30 21:56:41 Hora Padrão de Caracas,2021-03-30,21:56:41,-0400,988875172336848896,ranimacedo18,Rani Macêdo,,"@Fiuk quer que todos entendam o lado dele, mas ele não entende ninguém? Isso não #DoençaMental é ser hipócrita.  #esquerdomacho vtzeiro, o golpe está aí, cai quem quer. #RedeBBB #BBB",pt,"[{'screen_name': 'fiuk', 'name': 'fiuk 🎸', 'id': '43132532'}]",[],[],0,0,0,"['doençamental', 'esquerdomacho', 'redebbb', 'bbb']",[],https://twitter.com/RaniMacedo18/status/1377077357694087171,False,,0,,,,,,,,[],,,,
1366017252605231107,1365390207663681540,2021-02-28 09:27:47 Hora Padrão de Caracas,2021-02-28,09:27:47,-0400,1165346403088027649,fabioalvim1,Fabio Alvim,,@Tropa_84 @AliadadoBonoro Aaaaaaaaahhh Não #DoencaMental,pt,[],[],[],0,0,0,['doencamental'],[],https://twitter.com/FabioAlvim1/status/1366017252605231107,False,,0,,,,,,,,"[{'screen_name': 'Tropa_84', 'name': 'Tropa84', 'id': '1274030722769129473'}]",,,,
1354090041765728259,1354090041765728259,2021-01-26 11:33:18 Hora Padrão de Caracas,2021-01-26,11:33:18,-0400,68244919,gite63,Gi 👵🏠😷 👉 ❤ 📚 🎸🤟 🐶 📺 ⚽️🌪,,"Pessoas, uma palavrinha que vocês devem aprender, pesquisar e entender:  AUTOGINEFILIA  #educacao  #cultotrans  #mulhertrans  #mulher  #homem  #doençamental  #autoginefilia",pt,[],[],[],0,0,0,"['educacao', 'cultotrans', 'mulhertrans', 'mulher', 'homem', 'doençamental', 'autoginefilia']",[],https://twitter.com/gite63/status/1354090041765728259,False,,0,,,,,,,,[],,,,
1343665207860670467,1343661072717381633,2020-12-28 17:08:44 Hora Padrão de Caracas,2020-12-28,17:08:44,-0400,35017628,wsarai,Wellington C Saraiva,,"É também #estupro de pessoa #vulnerável e aplica-se a mesma pena se a #relaçãosexual for com pessoa que não tiver discernimento necessário para o ato, por enfermidade ou #doençamental, ou se, por qualquer outra razão, não puder oferecer resistência",pt,[],[],[],1,1,3,"['estupro', 'vulnerável', 'relaçãosexual', 'doençamental']",[],https://twitter.com/WSarai/status/1343665207860670467,False,,0,,,,,,,,[],,,,
1330384487394516996,1330211781923500042,2020-11-22 01:35:53 Hora Padrão de Caracas,2020-11-22,01:35:53,-0400,1206179520,carlisa27,Carlisa,,@joanabarros97 Os 2 convencidos e egocêntricos são nojentos. Mas não entendo que a #ERC deixe que se humilhie uma pessoa com doença de foro psicológico!! comprados pela pinderica? #assedio #doencamental,pt,[],[],[],0,0,0,"['erc', 'assedio', 'doencamental']",[],https://twitter.com/carlisa27/status/1330384487394516996,False,,0,,,,,,,,[],,,,
1321554668833644548,1320011210163691520,2020-10-28 16:49:21 Hora Padrão de Caracas,2020-10-28,16:49:21,-0400,1107397456831098886,cleidetavares12,Cleide Tavares,,@AlessandroLoio2 @allanldsantos #DoençaMental,und,[],[],[],0,0,0,['doençamental'],[],https://twitter.com/CleideTavares12/status/1321554668833644548,False,,0,,,,,,,,"[{'screen_name': 'AlessandroLoio2', 'name': 'Alessandro Loiola MD', 'id': '1003301201285435392'}, {'screen_name': 'allanldsantos', 'name': 'Allan Dos Santos', 'id': '52048790'}]",,,,
